project_id,project_name,ministry,sector,status,original_cost_cr,revised_cost_cr,expenditure_cr,physical_progress_pct,planned_duration_months,milestone_slip_months,spend_deviation_pct,cost_overrun_pct,progress_variance,start_date,planned_end_date,cost_risk,delay_risk,overall_risk
PRJ-0032,Health Infra Project 32,Ministry of Agriculture,Health Infra,Ongoing,796.98,855.45,540.6,51.7,63,0.0,11.5,7.3,11.5,2025-04-13,2030-06-16,0,0,0
PRJ-0033,Power Generation Project 33,Ministry of Housing & Urban Affairs,Power Generation,Stalled,242.12,310.09,75.55,38.7,23,9.0,-14.3,28.1,14.3,2024-01-09,2025-11-29,1,1,1
PRJ-0034,Irrigation Project 34,Ministry of Railways,Irrigation,Delayed,417.64,706.02,603.15,59.2,28,3.7,26.2,69.1,26.2,2025-05-25,2027-09-12,1,1,1
PRJ-0035,Coal Mining Project 35,"Ministry of Ports, Shipping & Waterways",Coal Mining,Stalled,160.48,174.76,95.08,66.5,24,13.7,-12.1,8.9,12.1,2024-08-07,2026-07-28,0,1,1
PRJ-0036,Roads & Highways Project 36,Ministry of Rural Development,Roads & Highways,Ongoing,266.02,477.34,99.78,33.0,46,4.1,-12.1,79.4,12.1,2025-10-20,2029-07-31,1,0,1
PRJ-0037,Power Generation Project 37,Ministry of Road Transport & Highways,Power Generation,Stalled,3387.22,4138.86,1243.71,48.8,37,1.6,-18.8,22.2,18.8,2025-10-09,2028-10-23,0,0,0
PRJ-0038,Rural Roads Project 38,Department of Telecommunications,Rural Roads,Ongoing,378.03,653.52,528.06,60.7,29,0.0,20.1,72.9,20.1,2024-09-12,2027-01-30,1,0,1
PRJ-0039,Roads & Highways Project 39,Ministry of Road Transport & Highways,Roads & Highways,Delayed,307.2,549.34,247.97,74.8,37,17.6,-29.7,78.8,29.7,2024-03-03,2027-03-18,1,1,1
PRJ-0040,Urban Development Project 40,Ministry of Housing & Urban Affairs,Urban Development,Stalled,1661.33,2667.54,1206.48,76.4,32,9.7,-31.2,60.6,31.2,2024-03-18,2026-11-03,1,1,1
PRJ-0041,Ports Project 41,Ministry of Railways,Ports,Ongoing,442.88,619.38,328.87,34.2,14,0.0,18.9,39.9,18.9,2024-11-01,2025-12-26,1,0,1
PRJ-0042,Health Infra Project 42,Ministry of Education,Health Infra,Completed,177.17,267.79,249.54,97.8,50,3.9,-4.6,51.1,4.6,2025-02-25,2029-04-05,1,0,1
PRJ-0043,Health Infra Project 43,Ministry of Road Transport & Highways,Health Infra,Ongoing,1924.3,2881.97,2420.54,36.1,16,2.5,47.9,49.8,47.9,2024-05-17,2025-09-09,1,1,1
PRJ-0044,Steel Plants Project 44,Department of Telecommunications,Steel Plants,Delayed,396.92,505.38,293.02,5.7,34,16.4,52.3,27.3,52.3,2024-07-01,2027-04-17,1,1,1
PRJ-0045,Irrigation Project 45,Ministry of Power,Irrigation,Ongoing,184.37,265.3,153.22,56.1,23,0.0,1.7,43.9,1.7,2024-12-11,2026-11-01,1,0,1
PRJ-0046,Health Infra Project 46,Ministry of Education,Health Infra,Delayed,155.26,155.58,131.41,27.3,19,11.8,57.1,0.2,57.1,2025-09-16,2027-04-09,1,1,1
PRJ-0047,Railways Project 47,Ministry of Agriculture,Railways,Completed,95.93,98.75,97.68,97.2,18,0.0,1.7,2.9,1.7,2024-01-03,2025-06-26,0,0,0
PRJ-0048,Coal Mining Project 48,Ministry of Housing & Urban Affairs,Coal Mining,Delayed,82.64,138.22,30.6,38.5,55,8.0,-16.3,67.3,16.3,2025-06-20,2029-12-26,1,1,1
PRJ-0049,Railways Project 49,Ministry of Education,Railways,Delayed,1444.21,1881.83,790.29,77.7,63,4.9,-35.7,30.3,35.7,2024-10-08,2029-12-11,1,1,1
PRJ-0050,Power Transmission Project 50,Ministry of Health & Family Welfare,Power Transmission,Stalled,54.02,57.82,45.95,68.2,35,3.5,11.3,7.0,11.3,2024-05-16,2027-04-01,0,0,0
PRJ-0051,Power Transmission Project 51,Ministry of Chemicals & Fertilizers,Power Transmission,Ongoing,242.12,382.14,308.27,66.5,13,4.5,14.2,57.8,14.2,2025-01-26,2026-02-20,1,0,1
PRJ-0052,Roads & Highways Project 52,Ministry of Jal Shakti,Roads & Highways,Completed,2244.81,3623.63,3363.59,95.7,22,2.7,-2.8,61.4,2.8,2025-05-25,2027-03-16,1,0,1
PRJ-0053,Railways Project 53,Ministry of Heavy Industries,Railways,Ongoing,118.82,183.6,139.2,53.0,22,1.7,22.8,54.5,22.8,2025-07-03,2027-04-24,1,0,1
PRJ-0054,Education Infra Project 54,Ministry of Heavy Industries,Education Infra,Under Review,545.51,860.42,162.17,52.7,40,1.2,-33.8,57.7,33.8,2024-08-16,2027-11-29,1,1,1
PRJ-0055,Power Transmission Project 55,Ministry of Agriculture,Power Transmission,Ongoing,1902.93,2590.95,1868.14,96.6,43,8.5,-24.5,36.2,24.5,2025-11-21,2029-06-03,1,1,1
PRJ-0056,Roads & Highways Project 56,Ministry of Rural Development,Roads & Highways,Ongoing,99.83,118.12,69.02,35.6,17,6.9,22.9,18.3,22.9,2025-10-07,2027-03-01,1,1,1
PRJ-0057,Roads & Highways Project 57,Ministry of Education,Roads & Highways,Delayed,304.37,341.3,136.31,53.3,48,6.3,-13.3,12.1,13.3,2025-02-14,2029-01-24,0,1,1
PRJ-0058,Agriculture Infra Project 58,Ministry of Civil Aviation,Agriculture Infra,Ongoing,661.8,1109.95,279.7,34.4,67,6.0,-9.2,67.7,9.2,2024-01-15,2029-07-17,1,0,1
PRJ-0059,Power Transmission Project 59,Ministry of Jal Shakti,Power Transmission,Completed,1244.84,1841.4,1727.39,99.6,21,1.4,-5.8,47.9,5.8,2025-07-03,2027-03-25,1,0,1
PRJ-0060,Steel Plants Project 60,Ministry of Petroleum & Natural Gas,Steel Plants,Under Review,144.34,209.6,148.25,77.4,67,3.2,-6.7,45.2,6.7,2024-05-06,2029-11-06,1,0,1
PRJ-0061,Roads & Highways Project 61,Ministry of Chemicals & Fertilizers,Roads & Highways,Ongoing,275.92,493.31,405.07,33.1,65,1.9,49.0,78.8,49.0,2024-01-01,2029-05-04,1,1,1
PRJ-0062,Power Generation Project 62,Ministry of Coal,Power Generation,Ongoing,146.61,209.64,185.72,65.0,13,1.7,23.6,43.0,23.6,2024-07-28,2025-08-22,1,0,1
PRJ-0063,Urban Development Project 63,"Ministry of Ports, Shipping & Waterways",Urban Development,Ongoing,356.23,444.99,344.6,49.6,54,11.6,27.8,24.9,27.8,2025-10-23,2030-03-31,1,1,1
PRJ-0064,Water Supply Project 64,Ministry of Petroleum & Natural Gas,Water Supply,Ongoing,34.63,43.22,20.22,49.4,62,0.0,-2.6,24.8,2.6,2024-11-13,2029-12-17,0,0,0
PRJ-0065,Health Infra Project 65,Ministry of Agriculture,Health Infra,Delayed,278.03,396.91,212.29,38.5,41,12.6,15.0,42.8,15.0,2025-11-08,2029-03-22,1,1,1
PRJ-0066,Railways Project 66,Ministry of Agriculture,Railways,Ongoing,752.06,768.36,251.7,93.1,35,6.5,-60.3,2.2,60.3,2025-03-18,2028-02-01,1,1,1
PRJ-0067,Health Infra Project 67,Ministry of Road Transport & Highways,Health Infra,Completed,1096.38,1940.72,1999.44,98.7,65,1.5,4.3,77.0,4.3,2025-04-13,2030-08-15,1,0,1
PRJ-0068,Power Transmission Project 68,Ministry of Health & Family Welfare,Power Transmission,Delayed,460.75,691.04,289.33,64.3,13,12.7,-22.5,50.0,22.5,2025-04-15,2026-05-10,1,1,1
PRJ-0069,Telecom Project 69,Ministry of Power,Telecom,Ongoing,158.67,268.91,145.2,77.3,57,0.0,-23.3,69.5,23.3,2024-05-07,2029-01-11,1,0,1
PRJ-0070,Steel Plants Project 70,Ministry of Coal,Steel Plants,Ongoing,1711.15,1892.23,1647.1,31.4,45,1.9,55.7,10.6,55.7,2024-03-15,2027-11-25,1,1,1
PRJ-0071,Telecom Project 71,Ministry of Civil Aviation,Telecom,Ongoing,108.3,109.25,28.35,38.1,68,0.0,-12.1,0.9,12.1,2024-10-13,2030-05-15,0,0,0
PRJ-0072,Railways Project 72,Ministry of Agriculture,Railways,Ongoing,52.69,83.8,18.12,69.8,47,0.0,-48.2,59.0,48.2,2025-01-05,2028-11-15,1,1,1
PRJ-0073,Railways Project 73,Ministry of Power,Railways,Ongoing,866.42,1527.73,394.16,87.9,67,4.0,-62.1,76.3,62.1,2024-10-15,2030-04-17,1,1,1
PRJ-0074,Oil & Gas Project 74,Ministry of Railways,Oil & Gas,Ongoing,69.51,110.0,60.1,22.9,54,0.0,31.8,58.3,31.8,2025-09-07,2030-02-13,1,1,1
PRJ-0075,Telecom Project 75,Ministry of Railways,Telecom,Ongoing,746.49,801.18,708.13,41.8,28,7.6,46.5,7.3,46.5,2024-11-25,2027-03-15,1,1,1
PRJ-0076,Rural Roads Project 76,Ministry of Housing & Urban Affairs,Rural Roads,Completed,224.93,264.74,275.06,97.8,56,3.3,6.1,17.7,6.1,2025-06-21,2030-01-26,0,0,0
PRJ-0077,Health Infra Project 77,Ministry of Agriculture,Health Infra,Delayed,418.2,743.08,672.79,55.3,29,8.5,35.2,77.7,35.2,2024-08-10,2026-12-28,1,1,1
PRJ-0078,Telecom Project 78,Ministry of Power,Telecom,Ongoing,140.51,149.16,105.46,95.2,51,7.4,-24.5,6.2,24.5,2024-07-01,2028-09-08,1,1,1
PRJ-0079,Rural Roads Project 79,Ministry of Road Transport & Highways,Rural Roads,Ongoing,667.32,1135.33,549.51,67.6,46,12.9,-19.2,70.1,19.2,2024-06-18,2028-03-29,1,1,1
PRJ-0080,Health Infra Project 80,Ministry of Heavy Industries,Health Infra,Ongoing,112.12,120.35,50.44,15.1,31,0.0,26.8,7.3,26.8,2025-01-23,2027-08-11,1,1,1
PRJ-0081,Health Infra Project 81,Ministry of Agriculture,Health Infra,Ongoing,525.29,686.8,476.44,64.3,23,11.7,5.1,30.7,5.1,2024-07-05,2026-05-26,1,1,1
PRJ-0082,Power Transmission Project 82,"Ministry of Ports, Shipping & Waterways",Power Transmission,Ongoing,110.31,193.5,129.59,16.6,64,4.7,50.4,75.4,50.4,2024-08-30,2029-12-02,1,1,1
PRJ-0083,Irrigation Project 83,Ministry of Civil Aviation,Irrigation,Ongoing,115.88,205.72,176.31,80.5,46,0.3,5.2,77.5,5.2,2024-01-20,2027-10-31,1,0,1
PRJ-0084,Oil & Gas Project 84,Ministry of Education,Oil & Gas,Stalled,522.97,882.83,455.49,84.2,67,7.1,-32.7,68.8,32.7,2024-11-18,2030-05-21,1,1,1
PRJ-0085,Steel Plants Project 85,Ministry of Housing & Urban Affairs,Steel Plants,Ongoing,30.02,36.26,26.42,23.0,37,6.6,49.9,20.8,49.9,2025-03-29,2028-04-12,1,1,1
PRJ-0086,Ports Project 86,Ministry of Power,Ports,Delayed,34.22,58.27,45.92,51.0,51,13.3,27.8,70.3,27.8,2024-04-01,2028-06-09,1,1,1
PRJ-0087,Airports Project 87,Ministry of Civil Aviation,Airports,Stalled,995.41,1760.93,919.87,57.3,42,12.3,-5.0,76.9,5.0,2025-06-18,2028-11-29,1,1,1
PRJ-0088,Agriculture Infra Project 88,Ministry of Railways,Agriculture Infra,Delayed,252.04,304.42,200.07,46.7,35,7.5,19.0,20.8,19.0,2024-12-30,2027-11-15,0,1,1
PRJ-0089,Irrigation Project 89,Ministry of Education,Irrigation,Ongoing,342.01,598.44,419.09,84.0,61,7.3,-14.0,75.0,14.0,2024-11-19,2029-11-23,1,1,1
PRJ-0090,Health Infra Project 90,Ministry of Agriculture,Health Infra,Under Review,39.34,62.93,15.99,75.9,23,2.0,-50.5,60.0,50.5,2024-01-07,2025-11-27,1,1,1
PRJ-0091,Water Supply Project 91,Ministry of Jal Shakti,Water Supply,Ongoing,56.27,94.72,54.15,73.0,40,4.2,-15.8,68.3,15.8,2024-06-05,2027-09-18,1,0,1
PRJ-0092,Urban Development Project 92,Ministry of Housing & Urban Affairs,Urban Development,Completed,327.66,443.6,435.3,97.8,69,0.0,0.3,35.4,0.3,2025-06-10,2031-02-09,1,0,1
PRJ-0093,Ports Project 93,Ministry of Rural Development,Ports,Completed,294.45,493.45,462.0,95.6,14,0.0,-2.0,67.6,2.0,2024-12-14,2026-02-07,1,0,1
PRJ-0094,Rural Roads Project 94,Ministry of Civil Aviation,Rural Roads,Delayed,2124.15,2233.26,1374.74,22.7,64,4.6,38.8,5.1,38.8,2025-01-20,2030-04-24,1,1,1
PRJ-0095,Health Infra Project 95,Ministry of Agriculture,Health Infra,Delayed,835.66,1410.68,1091.69,32.4,19,5.0,45.0,68.8,45.0,2024-08-01,2026-02-22,1,1,1
PRJ-0096,Roads & Highways Project 96,Ministry of Petroleum & Natural Gas,Roads & Highways,Delayed,61.82,66.17,28.48,61.9,44,11.1,-18.9,7.0,18.9,2025-08-11,2029-03-23,0,1,1
PRJ-0097,Coal Mining Project 97,Ministry of Railways,Coal Mining,Ongoing,340.57,533.05,93.43,13.7,17,3.9,3.9,56.5,3.9,2024-03-13,2025-08-05,1,0,1
PRJ-0098,Airports Project 98,Ministry of Education,Airports,Delayed,3252.12,5291.41,2829.44,79.3,52,2.8,-25.9,62.7,25.9,2025-11-30,2030-03-09,1,1,1
PRJ-0099,Urban Development Project 99,Ministry of Heavy Industries,Urban Development,Completed,129.65,153.35,146.21,95.2,52,6.9,0.2,18.3,0.2,2024-02-28,2028-06-06,0,1,1
PRJ-0100,Power Transmission Project 100,Ministry of Housing & Urban Affairs,Power Transmission,Completed,214.24,345.82,345.03,98.0,61,4.9,1.7,61.4,1.7,2025-11-19,2030-11-23,1,0,1
PRJ-0101,Power Generation Project 101,Ministry of Heavy Industries,Power Generation,Delayed,953.61,1435.42,1057.17,93.0,46,9.9,-19.4,50.5,19.4,2025-06-03,2029-03-14,1,1,1
PRJ-0102,Agriculture Infra Project 102,Ministry of Civil Aviation,Agriculture Infra,Ongoing,192.5,283.81,174.13,62.6,31,6.8,-1.3,47.4,1.3,2024-05-09,2026-11-25,1,1,1
PRJ-0103,Irrigation Project 103,Ministry of Power,Irrigation,Ongoing,1920.07,2529.36,859.03,95.5,42,0.0,-61.5,31.7,61.5,2025-01-29,2028-07-12,1,1,1
PRJ-0104,Oil & Gas Project 104,Ministry of Heavy Industries,Oil & Gas,Ongoing,533.1,834.53,236.7,12.7,31,7.4,15.7,56.5,15.7,2024-10-10,2027-04-28,1,1,1
PRJ-0105,Telecom Project 105,Ministry of Rural Development,Telecom,Ongoing,301.48,431.7,76.56,87.0,25,5.0,-69.2,43.2,69.2,2025-10-03,2027-10-23,1,1,1
PRJ-0106,Roads & Highways Project 106,Ministry of Housing & Urban Affairs,Roads & Highways,Delayed,734.8,1002.11,563.67,70.8,61,4.4,-14.6,36.4,14.6,2025-03-03,2030-03-07,1,0,1
PRJ-0107,Irrigation Project 107,Ministry of Civil Aviation,Irrigation,Under Review,437.32,526.64,357.75,48.5,66,4.0,19.4,20.4,19.4,2024-08-05,2030-01-06,0,0,0
PRJ-0108,Education Infra Project 108,Ministry of Petroleum & Natural Gas,Education Infra,Stalled,449.63,665.67,600.9,36.2,25,12.7,54.0,48.0,54.0,2024-02-22,2026-03-13,1,1,1
PRJ-0109,Oil & Gas Project 109,Ministry of Road Transport & Highways,Oil & Gas,Under Review,163.79,201.62,47.84,56.1,45,5.6,-32.3,23.1,32.3,2025-01-15,2028-09-26,1,1,1
PRJ-0110,Oil & Gas Project 110,Department of Telecommunications,Oil & Gas,Ongoing,166.76,206.36,138.11,46.6,32,10.6,20.3,23.7,20.3,2025-10-16,2028-06-02,1,1,1
PRJ-0111,Water Supply Project 111,Ministry of Road Transport & Highways,Water Supply,Delayed,170.1,249.99,71.19,83.4,25,13.1,-54.9,47.0,54.9,2024-01-03,2026-01-22,1,1,1
PRJ-0112,Telecom Project 112,Ministry of Agriculture,Telecom,Under Review,17.76,18.02,5.53,58.1,66,0.0,-27.4,1.5,27.4,2024-12-01,2030-05-04,1,1,1
PRJ-0113,Rural Roads Project 113,Ministry of Jal Shakti,Rural Roads,Delayed,174.72,268.38,239.85,30.0,39,8.3,59.4,53.6,59.4,2024-10-17,2027-12-31,1,1,1
PRJ-0114,Coal Mining Project 114,Ministry of Heavy Industries,Coal Mining,Completed,121.82,199.14,199.73,95.0,67,0.0,5.3,63.5,5.3,2024-02-05,2029-08-07,1,0,1
PRJ-0115,Oil & Gas Project 115,Ministry of Coal,Oil & Gas,Delayed,140.4,242.15,185.48,15.3,60,13.1,61.3,72.5,61.3,2024-06-02,2029-05-07,1,1,1
PRJ-0116,Coal Mining Project 116,Ministry of Jal Shakti,Coal Mining,Delayed,484.81,712.32,202.59,35.0,46,16.1,-6.5,46.9,6.5,2024-04-17,2028-01-27,1,1,1
PRJ-0117,Coal Mining Project 117,Ministry of Chemicals & Fertilizers,Coal Mining,Ongoing,126.91,141.3,52.23,89.1,18,0.0,-52.1,11.3,52.1,2025-08-19,2027-02-10,1,1,1
PRJ-0118,Airports Project 118,Ministry of Chemicals & Fertilizers,Airports,Ongoing,390.7,496.1,433.8,86.0,56,0.0,1.4,27.0,1.4,2024-02-05,2028-09-11,1,0,1
PRJ-0119,Agriculture Infra Project 119,Ministry of Jal Shakti,Agriculture Infra,Delayed,323.94,552.01,370.24,43.1,65,1.0,24.0,70.4,24.0,2025-01-15,2030-05-19,1,0,1
PRJ-0120,Irrigation Project 120,Ministry of Jal Shakti,Irrigation,Ongoing,74.53,106.48,24.21,39.5,68,0.0,-16.8,42.9,16.8,2024-02-24,2029-09-25,1,0,1
PRJ-0121,Agriculture Infra Project 121,Ministry of Health & Family Welfare,Agriculture Infra,Ongoing,691.17,825.9,567.59,72.7,31,3.9,-4.0,19.5,4.0,2025-02-09,2027-08-28,0,0,0
PRJ-0122,Railways Project 122,Ministry of Civil Aviation,Railways,Ongoing,172.61,219.79,99.95,66.2,13,0.0,-20.7,27.3,20.7,2025-03-24,2026-04-18,1,0,1
PRJ-0123,Power Generation Project 123,Ministry of Civil Aviation,Power Generation,Completed,1858.69,2440.15,2289.76,98.6,60,6.8,-4.8,31.3,4.8,2024-02-11,2029-01-15,1,1,1
PRJ-0124,Education Infra Project 124,"Ministry of Ports, Shipping & Waterways",Education Infra,Ongoing,58.82,91.52,39.07,43.4,31,5.8,-0.7,55.6,0.7,2024-09-22,2027-04-10,1,0,1
PRJ-0125,Power Generation Project 125,Ministry of Agriculture,Power Generation,Under Review,451.39,495.36,263.82,62.4,15,0.0,-9.1,9.7,9.1,2025-06-20,2026-09-13,0,0,0
PRJ-0126,Steel Plants Project 126,Ministry of Civil Aviation,Steel Plants,Delayed,76.72,80.49,62.34,68.5,21,4.9,8.9,4.9,8.9,2024-12-10,2026-09-01,0,0,0
PRJ-0127,Rural Roads Project 127,Ministry of Health & Family Welfare,Rural Roads,Ongoing,170.21,239.58,226.97,10.5,28,0.0,84.3,40.8,84.3,2024-04-10,2026-07-29,1,1,1
PRJ-0128,Airports Project 128,Ministry of Power,Airports,Delayed,190.42,263.79,76.9,52.9,33,4.0,-23.7,38.5,23.7,2025-10-06,2028-06-22,1,0,1
PRJ-0129,Irrigation Project 129,"Ministry of Ports, Shipping & Waterways",Irrigation,Ongoing,240.24,261.33,153.76,67.6,32,4.7,-8.8,8.8,8.8,2024-11-03,2027-06-21,0,0,0
PRJ-0130,Oil & Gas Project 130,Ministry of Power,Oil & Gas,Delayed,169.27,298.76,76.64,77.1,28,7.6,-51.5,76.5,51.5,2024-04-29,2026-08-17,1,1,1
PRJ-0131,Railways Project 131,Ministry of Chemicals & Fertilizers,Railways,Ongoing,739.24,1005.44,333.38,71.4,28,1.0,-38.2,36.0,38.2,2024-06-21,2026-10-09,1,1,1
PRJ-0132,Water Supply Project 132,Ministry of Power,Water Supply,Under Review,305.4,485.59,210.07,79.7,57,7.2,-36.4,59.0,36.4,2024-08-15,2029-04-21,1,1,1
PRJ-0133,Urban Development Project 133,Ministry of Steel,Urban Development,Ongoing,579.84,818.58,711.44,8.7,19,7.8,78.2,41.2,78.2,2024-12-25,2026-07-18,1,1,1
PRJ-0134,Coal Mining Project 134,Ministry of Coal,Coal Mining,Completed,476.98,588.72,550.1,95.2,65,0.0,-1.8,23.4,1.8,2025-11-23,2031-03-27,0,0,0
PRJ-0135,Education Infra Project 135,Ministry of Petroleum & Natural Gas,Education Infra,Ongoing,311.7,464.54,420.16,57.2,41,3.7,33.3,49.0,33.3,2024-06-20,2027-11-02,1,1,1
PRJ-0136,Telecom Project 136,Ministry of Rural Development,Telecom,Stalled,336.66,404.6,305.08,45.9,32,1.5,29.5,20.2,29.5,2025-09-29,2028-05-16,1,1,1
PRJ-0137,Agriculture Infra Project 137,Ministry of Chemicals & Fertilizers,Agriculture Infra,Ongoing,395.29,653.9,209.78,31.4,62,9.3,0.7,65.4,0.7,2025-02-10,2030-03-16,1,1,1
PRJ-0138,Airports Project 138,Ministry of Power,Airports,Delayed,197.49,222.9,132.95,72.9,19,9.7,-13.2,12.9,13.2,2024-05-08,2025-11-29,0,1,1
PRJ-0139,Education Infra Project 139,Ministry of Steel,Education Infra,Delayed,652.13,750.22,325.83,47.1,24,11.2,-3.6,15.0,3.6,2025-01-27,2027-01-17,0,1,1
PRJ-0140,Steel Plants Project 140,Ministry of Railways,Steel Plants,Completed,215.45,301.98,277.9,98.3,58,5.2,-6.3,40.2,6.3,2025-01-15,2029-10-21,1,0,1
